date,Fleet_Size_Full_Day,Fleet_Size_Peak_Morning,Fleet_Size_Peak_Evening,Fleet_Size_Off_Peak,weekday
2025-02-01,11081,3347,6393,4823,Saturday
2025-02-02,8967,3046,4847,4594,Sunday
2025-02-03,7965,5376,4111,3821,Monday
2025-02-04,8727,5341,4653,4064,Tuesday
2025-02-05,9977,6034,5256,4523,Wednesday
2025-02-06,10710,5830,5693,4873,Thursday
2025-02-07,12369,6062,6390,5480,Friday
2025-02-08,10900,3661,6295,4910,Saturday
2025-02-09,9782,2931,6540,4093,Sunday
2025-02-10,8713,5646,4331,4163,Monday
2025-02-11,9338,5516,4738,4201,Tuesday
2025-02-12,9816,5574,5199,4355,Wednesday
2025-02-13,10944,5716,5870,5205,Thursday
2025-02-14,12138,5438,5897,5574,Friday
2025-02-15,11051,3385,6470,5679,Saturday
2025-02-16,8317,2721,4550,4627,Sunday
2025-02-17,7362,3227,4251,4139,Monday
2025-02-18,9686,5766,4810,4041,Tuesday
2025-02-19,10088,5472,4959,4196,Wednesday
2025-02-20,10825,5960,5970,4730,Thursday
2025-02-21,12656,5766,6795,5744,Friday
2025-02-22,11563,3240,6099,4177,Saturday
2025-02-23,9483,3323,5303,4497,Sunday
2025-02-24,8706,5334,4568,4464,Monday
2025-02-25,9839,6468,5096,4529,Tuesday
2025-02-26,10971,6308,5661,5079,Wednesday
2025-02-27,11903,6292,6053,5985,Thursday
2025-02-28,12183,5893,6230,5831,Friday
